Gene,Count
Zm00001eb232120,24
Zm00001eb124790,3
Zm00001eb212930,706
Zm00001eb408520,1950
Zm00001eb231040,355
Zm00001eb122550,721
Zm00001eb417580,7
Zm00001eb053830,453
Zm00001eb170920,2227
Zm00001eb316310,32
Zm00001eb171720,1324
Zm00001eb042980,191
Zm00001eb173840,1
Zm00001eb243420,4
Zm00001eb382780,6
Zm00001eb312600,1044
Zm00001eb250240,1370
Zm00001eb359810,102
Zm00001eb233790,6194
Zm00001eb288400,1035
Zm00001eb360260,1749
Zm00001eb387370,3521
Zm00001eb242480,1861
Zm00001eb361590,193
Zm00001eb256690,443
Zm00001eb227390,2952
Zm00001eb101280,596
Zm00001eb432090,826
Zm00001eb127850,1242
Zm00001eb138040,21
Zm00001eb056260,3096
Zm00001eb293840,9
Zm00001eb359950,10
Zm00001eb189080,864
Zm00001eb354920,2467
Zm00001eb033570,29
Zm00001eb214200,155
Zm00001eb176680,4113
Zm00001eb145040,1684
Zm00001eb385620,1983
Zm00001eb317070,16
Zm00001eb032000,1624
Zm00001eb384820,2023
Zm00001eb010770,1172
Zm00001eb216610,4686
Zm00001eb120750,4756
Zm00001eb344200,291
Zm00001eb325750,55
Zm00001eb235080,9
Zm00001eb399800,250
Zm00001eb054670,344
Zm00001eb413540,1045
Zm00001eb204190,742
Zm00001eb021980,476
Zm00001eb067800,2
Zm00001eb187250,54
Zm00001eb074930,2746
Zm00001eb275490,3109
Zm00001eb149680,402
Zm00001eb296820,1390
Zm00001eb072200,835
Zm00001eb181960,171
Zm00001eb353030,829
Zm00001eb394180,4608
Zm00001eb089580,1629
Zm00001eb194220,588
Zm00001eb187310,1304
Zm00001eb252100,14
Zm00001eb295800,37
Zm00001eb370470,153
Zm00001eb413930,1034
Zm00001eb321680,1031
Zm00001eb186770,1727
Zm00001eb143110,3710
Zm00001eb041610,9
Zm00001eb337410,4525
Zm00001eb073130,4205
Zm00001eb070050,1891
Zm00001eb248780,2960
Zm00001eb226570,503
Zm00001eb042020,2109
Zm00001eb095690,1490
Zm00001eb358700,419
Zm00001eb379110,1
Zm00001eb243260,454
Zm00001eb028820,2165
Zm00001eb048370,4707
Zm00001eb182260,554
Zm00001eb052070,111
Zm00001eb055540,10
Zm00001eb352240,758
Zm00001eb227280,14
Zm00001eb199970,67
Zm00001eb149300,3589
Zm00001eb181510,1218
Zm00001eb166400,3
Zm00001eb197860,19
Zm00001eb347900,3
Zm00001eb265610,1744
Zm00001eb373300,161
Zm00001eb313850,39
Zm00001eb015150,3357
Zm00001eb228520,3008
Zm00001eb318500,223
Zm00001eb402170,6
Zm00001eb078590,2243
Zm00001eb218610,1224
Zm00001eb392440,4966
Zm00001eb164740,744
Zm00001eb145150,23
Zm00001eb032110,1482
Zm00001eb357220,1164
Zm00001eb337970,2109
Zm00001eb417610,2568
Zm00001eb098330,692
Zm00001eb141310,1554
Zm00001eb062200,86
Zm00001eb347270,2557
Zm00001eb030190,101
Zm00001eb233350,528
Zm00001eb075170,1
Zm00001eb315950,2933
Zm00001eb378270,66
Zm00001eb061430,2368
Zm00001eb425660,13
Zm00001eb101700,185
Zm00001eb127420,1916
Zm00001eb243910,1194
Zm00001eb168870,1628
Zm00001eb035370,5536
Zm00001eb370850,52
Zm00001eb064180,2192
Zm00001eb417000,536
Zm00001eb348490,1
Zm00001eb353990,1596
Zm00001eb369280,6
Zm00001eb401290,1990
Zm00001eb005380,3270
Zm00001eb432450,2323
Zm00001eb159960,2218
Zm00001eb317890,841
Zm00001eb135400,4990
Zm00001eb272040,5589
Zm00001eb253650,4688
Zm00001eb003900,1544
Zm00001eb407810,2435
Zm00001eb406610,692
Zm00001eb121610,1280
Zm00001eb172460,1
Zm00001eb181760,133
Zm00001eb387600,785
Zm00001eb355310,1
Zm00001eb216950,4
Zm00001eb031690,525
Zm00001eb129290,1277
Zm00001eb100750,2289
Zm00001eb015320,526
Zm00001eb201290,1631
Zm00001eb229950,386
Zm00001eb298990,133
Zm00001eb067740,14
Zm00001eb006210,1707
Zm00001eb316660,3176
Zm00001eb153520,324
Zm00001eb372960,2
Zm00001eb408640,2544
Zm00001eb421380,1
Zm00001eb210530,17
Zm00001eb380460,127
Zm00001eb232240,3254
Zm00001eb001720,432
Zm00001eb296170,474
Zm00001eb153330,3303
Zm00001eb415660,1832
Zm00001eb092090,3859
Zm00001eb055990,21
Zm00001eb086280,5473
Zm00001eb195430,3
Zm00001eb100610,405
Zm00001eb406000,92
Zm00001eb143430,3164
Zm00001eb273850,2592
Zm00001eb270930,15
Zm00001eb203350,1758
Zm00001eb261760,429
Zm00001eb284910,12
Zm00001eb099570,294
Zm00001eb330680,152
Zm00001eb164470,1
Zm00001eb082300,16
Zm00001eb375660,1
Zm00001eb267130,180
Zm00001eb101360,2
Zm00001eb062130,3
Zm00001eb368640,2818
Zm00001eb068530,2886
Zm00001eb073830,962
Zm00001eb129010,2346
Zm00001eb107910,932
Zm00001eb403060,2627
Zm00001eb268690,3242
Zm00001eb075510,12
Zm00001eb184110,4494
Zm00001eb104790,1819
Zm00001eb212120,3943
Zm00001eb282810,717
